,Country,Year,Total_Specialty_coffee,Production_World,% Specialty Coffee,%_Specialty_VS_Production_Total
0,Brazil,2010,36000.0,3325704.61,1.08,0.8514643803712769
29,Ethiopia,2010,7920.0,333623.09,2.37,0.18732216368168092
58,Indonesia,2010,600.0,547710.71,0.11,0.014191073006187946
42,Haiti,2010,5012.19,20971.69,23.9,0.11854725701814194
59,Indonesia,2011,30.0,413335.4,0.01,0.0007816730642611759
11,Colombia,2011,52621.0,459200.02,11.46,1.3710806104829114
1,Brazil,2011,30000.0,2915509.73,1.03,0.781673064261176
104,Thailand,2011,9590.0,49876.53,19.23,0.24987482287548926
36,Guatemala,2012,155869.19,225775.99,69.04,1.8300426593531958
60,Indonesia,2012,4440.0,784202.32,0.57,0.052129541492633595
45,Honduras,2012,4.0,281159.75,0.0,4.69635508942645e-05
90,Peru,2012,26220.0,267002.87,9.82,0.3078460761119038
73,Mexico,2012,24989.0,259616.53,9.63,0.29339304332419386
30,Ethiopia,2012,6000.0,367920.4,1.63,0.07044532634139675
27,El Salvador,2012,595.0,74375.11,0.8,0.006985828195521845
86,Panama,2012,600.0,6931.19,8.66,0.007044532634139676
89,Papua New Guinea,2012,420.0,42989.28,0.98,0.004931172843897773
52,India,2012,200.0,324206.45,0.06,0.002348177544713225
66,Kenya,2012,76680.0,52526.73,145.98,0.9002912706430505
94,Philippines,2012,2.0,10647.7,0.02,2.348177544713225e-05
43,Haiti,2012,7.63,20983.91,0.04,8.958297333080953e-05
99,Tanzania,2012,6600.0,69067.29,9.56,0.07748985897553642
18,Costa Rica,2012,5.0,109361.44,0.0,5.8704438617830626e-05
2,Brazil,2012,40860.0,3325080.07,1.23,0.4797326723849119
105,Thailand,2012,61.0,36485.68,0.17,0.0007161941511375337
109,Uganda,2012,57720.0,234810.12,24.58,0.6776840394042367
12,Colombia,2012,470752.0,595616.67,79.04,5.527046377644201
119,Vietnam,2012,4.0,1404126.34,0.0,4.69635508942645e-05
7,Burundi,2012,13200.0,24357.69,54.19,0.15497971795107285
46,Honduras,2013,275.0,274981.48,0.1,0.003150076697437414
120,Vietnam,2013,2.27,1656586.88,0.0,2.600245128430156e-05
53,India,2013,782.27,304519.87,0.26,0.008960765447652239
91,Peru,2013,3356.58,246374.3,1.36,0.03844903433121627
110,Uganda,2013,135900.0,217972.02,62.35,1.5567106297517983
106,Thailand,2013,3.0,38280.23,0.01,3.43644730629536e-05
74,Mexico,2013,4264.0,234988.6,1.81,0.0488433710468114
81,Nicaragua,2013,750.69,123591.77,0.61,0.008599022094542882
100,Tanzania,2013,600.0,48656.11,1.23,0.006872894612590722
67,Kenya,2013,24981.0,50577.01,49.39,0.2861529671952147
61,Indonesia,2013,1280.0,774056.96,0.17,0.014662175173526873
19,Costa Rica,2013,31125.0,93124.57,33.42,0.35653140802814365
31,Ethiopia,2013,9000.0,374546.63,2.4,0.10309341918886081
28,El Salvador,2013,1104.0,30899.98,3.57,0.012646126087166925
3,Brazil,2013,3302.27,3281337.98,0.1,0.03782692282053327
25,Ecuador,2013,2.27,39932.7,0.01,2.600245128430156e-05
44,Haiti,2013,546.12,20712.59,2.64,0.006255708676380075
37,Guatemala,2013,450623.69,191362.28,235.48,5.161815218844586
13,Colombia,2013,508186.73,727444.21,69.86,5.821189731345159
20,Costa Rica,2014,26935.97,88503.67,30.43,0.31711630237684835
75,Mexico,2014,23778.24,218184.04,10.9,0.2799404493630365
107,Thailand,2014,5.0,50693.23,0.01,5.88648380542539e-05
68,Kenya,2014,11280.0,46185.77,24.42,0.1327990746503968
82,Nicaragua,2014,550.0,113860.97,0.48,0.006475132185967929
14,Colombia,2014,143676.81,800000.61,17.96,1.6915024305603616
87,Panama,2014,12000.0,6373.01,188.29,0.14127561133020938
92,Peru,2014,550.0,172993.74,0.32,0.006475132185967929
101,Tanzania,2014,100080.0,45160.11,221.61,1.1782385984939463
95,Philippines,2014,16.0,11592.85,0.14,0.0001883674817736125
32,Ethiopia,2014,233700.0,382995.71,61.02,2.7513425306558275
123,Zambia,2014,26.0,156.67,16.6,0.0003060971578821203
111,Uganda,2014,62700.0,224668.62,27.91,0.738165069200344
121,Vietnam,2014,12.0,1634431.31,0.0,0.0001412756113302094
47,Honduras,2014,61050.0,316092.97,19.31,0.7187396726424402
4,Brazil,2014,72612.27,3198286.01,2.27,0.8548619028603519
38,Guatemala,2014,447237.11,198604.55,225.19,5.265308010400508
54,India,2014,1040.0,326992.02,0.32,0.012243886315284813
72,Malawi,2014,33420.0,1482.59,2254.16,0.39345257755463314
62,Indonesia,2014,3000.0,656776.64,0.46,0.035318902832552346
97,Rwanda,2015,9000.0,17557.75,51.26,0.1315905627365728
96,Philippines,2015,500.0,12484.36,4.01,0.007310586818698488
112,Uganda,2015,48300.0,218974.02,22.06,0.7062026866862741
21,Costa Rica,2015,146175.0,86410.34,169.16,2.1372500564465033
69,Kenya,2015,10200.0,47950.03,21.27,0.14913597110144916
48,Honduras,2015,16825.0,347146.56,4.85,0.24600124644920413
102,Tanzania,2015,2860.0,55810.32,5.12,0.04181655660295536
15,Colombia,2015,216702.0,840526.88,25.78,3.1684375695711995
83,Nicaragua,2015,77000.0,127825.33,60.24,1.1258303700795673
63,Indonesia,2015,17280.0,755128.51,2.29,0.25265388045421977
33,Ethiopia,2015,38400.0,390898.52,9.82,0.5614530676760439
55,India,2015,39300.0,349820.29,11.23,0.5746121239497013
5,Brazil,2015,57600.0,3172235.26,1.82,0.8421796015140658
108,Thailand,2015,1800.0,45718.85,3.94,0.026318112547314556
76,Mexico,2015,1050.0,166322.36,0.63,0.015352232319266825
39,Guatemala,2015,197970.0,204586.86,96.77,2.8945537449954797
113,Uganda,2016,24000.0,297729.48,8.06,0.3258972666007695
16,Colombia,2016,340450.0,878063.36,38.77,4.622988517259666
103,Tanzania,2016,38400.0,50765.51,75.64,0.5214356265612312
6,Brazil,2016,299162.0,3407290.7,8.78,4.062336586284141
8,Burundi,2016,18000.0,11784.77,152.74,0.24442294995057715
84,Nicaragua,2016,113851.0,153317.89,74.26,1.5459887374901755
64,Indonesia,2016,4.0,692461.6,0.0,5.4316211100128256e-05
22,Costa Rica,2016,50255.0,82313.78,61.05,0.6824152972092363
40,Guatemala,2016,619053.0,221052.54,280.05,8.406153357541923
24,Cote d Ivoire,2016,2.0,67044.27,0.0,2.7158105550064128e-05
49,Honduras,2016,151665.0,447413.86,33.9,2.059467039125238
26,Ecuador,2016,4.0,38693.07,0.01,5.4316211100128256e-05
56,India,2016,1000.0,369656.62,0.27,0.013579052775032062
77,Mexico,2016,19320.0,218117.69,8.86,0.26234729961361947
34,Ethiopia,2016,37200.0,428578.78,8.68,0.5051407632311927
50,Honduras,2017,133455.0,453586.08,29.42,2.3067617808794165
57,India,2017,38400.0,348793.43,11.01,0.6637417285659556
35,Ethiopia,2017,38400.0,440803.99,8.71,0.6637417285659556
93,Peru,2017,13800.0,256744.99,5.37,0.23853218370339027
17,Colombia,2017,28280.0,829444.35,3.41,0.4888181271834694
65,Indonesia,2017,6010.0,651138.92,0.92,0.10388249449691128
70,Kenya,2017,34350.0,47371.01,72.51,0.593737718131265
78,Mexico,2017,46660.0,269074.88,17.34,0.8065153399710282
85,Nicaragua,2017,56925.0,158537.12,35.91,0.983945257776485
88,Panama,2017,2220.0,6273.73,35.39,0.03837256868271931
23,Costa Rica,2017,18710.67,93640.82,19.98,0.3234128241777908
122,Vietnam,2017,4.0,2005949.94,0.0,6.913976339228704e-05
41,Guatemala,2017,124200.0,224023.57,55.44,2.1467896533305124
51,Honduras,2018,18975.0,429172.82,4.42,4.421295831362293
